gid,designation,nature_site,position,jour_ouverture,heure_ouverture,heure_fermeture,adresse,code_quartier,libelle_quartier,commune,geo_shape
125,Plaine de jeux de la Noé Lambert,Domaine public,dans le couloir sur la gauche de l'entrée principale,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,21 route de Sainte Luce,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5274637030464175, 47.23063868672779], 'type': 'Point'}, 'properties': {}}"
142,Stade Jean-Jacques Audubon  Audubon,Domaine public,EXTÉRIEUR  contre le mur du bâtiment,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,45 rue Jean-Jacques Audubon,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5038730075280724, 47.23964078189262], 'type': 'Point'}, 'properties': {}}"
5,Piscine Durantière,Domaine public,Infirmerie,"En période scolaire : lundi,mercredi,samedi,dimanche - Pendant les vacances du 2/07 au 2/09/2018",,,11 rue de la Durantière,2.0,Dervallières - Zola,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5987433840551812, 47.21277169497089], 'type': 'Point'}, 'properties': {}}"
76,Plaine de jeux de Sèvres,Domaine public,Dans le local du gardein,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,Rue de l' Olivraie,8.0,Nantes Sud,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.53124487661881, 47.18509107654501], 'type': 'Point'}, 'properties': {}}"
108,Stade du RACC,Domaine privé,Dans le local d'accueil,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,11 rue de la Rivière,6.0,Doulon - Bottière,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5002614924797122, 47.23188033530743], 'type': 'Point'}, 'properties': {}}"
124,Complexe sportif de la Durantière,Domaine public,Dans le couloir à gauche de l'entrée del'équipement,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,68 rue de la Durantière,2.0,Dervallières - Zola,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6052713140970636, 47.21399876256724], 'type': 'Point'}, 'properties': {}}"
151,centre accueil de loisirs Ville au Denis,Domaine public,Centre accueil de loisirs Ville au Denis,,,,allée des soupirs,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6228950254548324, 47.15531098724663], 'type': 'Point'}, 'properties': {}}"
42,Complexe sportif Mangin Beaulieu,Domaine public,Couloir central entre le vestiaire 3 et les toilettes femmes,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,2 rue Louis Joxe,9.0,Ile de Nantes,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.542365758795455, 47.20455915339852], 'type': 'Point'}, 'properties': {}}"
135,Marché de Talensac,Domaine public,contre un mur- partie centrale du bâtiment .,"Mardi, mercredi, jeudi, vendredi, samedi, dimanche",07:00,13:00,Rue de Talensac,3.0,Hauts Pavés - Saint Félix,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.557975650850388, 47.221289797175345], 'type': 'Point'}, 'properties': {}}"
75,Muséum d'Histoire Naturelle,Domaine privé,Accueil du Muséum - coté du square Louis Bureau et des toilettes publiques,Tous les jours en été,10:00,19:00,12 rue Voltaire,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5650253473228866, 47.2128101350378], 'type': 'Point'}, 'properties': {}}"
105,Plaine de jeux de l'Eraudière,Domaine public,Dans le local du gardien,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,11 Rue du Stade de la Noue,11.0,Nantes Erdre,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5353763829583176, 47.247341761143446], 'type': 'Point'}, 'properties': {}}"
132,"Stade Joseph Geoffroy ""le vivier""",Domaine privé,Dans le local d'accueil,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,25 Rue du Port Boyer,11.0,Nantes Erdre,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5334198297389172, 47.24040928296009], 'type': 'Point'}, 'properties': {}}"
133,CCAS de Nantes,Domaine public,Dans un local derrière l'accueil,Lundi au Vendredi,08:30,17:30,Place Saint Similien,5.0,Centre Ville,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5584579402953105, 47.21974234347421], 'type': 'Point'}, 'properties': {}}"
136,Palais de sports de Beaulieu,Domaine public,"Couloir d'accès aux salles sportives , face au hall d'entrée",VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,7-9 rue André Tardieu,9.0,Ile de Nantes,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5367642548285665, 47.20952112667834], 'type': 'Point'}, 'properties': {}}"
137,Salle festive Nantes Nord,Domaine public,A l'entrée principale - sur la droite .,HORAIRES VARIABLES  (SUR RÉSERVATION),VARIABLE SUIVANT L'ACTIVITÉ,VARIABLE SUIVANT L'ACTIVITÉ,73 avenue du Bout des Landes,1.0,Nantes Nord,Nantes,"{'type': 'Feature', 'geometry': {'coordinates': [-1.5808427863676782, 47.26366694563516], 'type': 'Point'}, 'properties': {}}"
155,gymnase des Bélians,Domaine public,Gymnase des Bélians,,,,3 rue Ginsheim-Gustavsburg,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6050366802900564, 47.173150933952996], 'type': 'Point'}, 'properties': {}}"
156,Piano'cktail,Domaine public,Piano'cktail,,,,1 rue Ginsheim-Gustavsburg,,,Bouguenais,"{'type': 'Feature', 'geometry': {'coordinates': [-1.6066030895642918, 47.17394225076131], 'type': 'Point'}, 'properties': {}}"
